"구분(1)",구분(2),구분(3),구분(4),2024.05,2024.06,2024.07,2024.08,2024.09,2024.10
"도시대기",서울특별시,중구,중구,0.0168,0.0172,0.0143,0.0093,0.0076,0.0125
"도시대기",서울특별시,종로구,종로구,0.0146,0.0148,0.0118,0.0120,0.0123,0.0194
"도시대기",서울특별시,중랑구,중랑구,0.0151,0.0146,0.0111,0.0103,0.0100,0.0138
"도시대기",서울특별시,동대문구,동대문구,0.0162,0.0151,0.0107,0.0110,0.0112,0.0192
"도시대기",서울특별시,은평구,은평구,0.0114,0.0118,0.0083,0.0086,0.0085,0.0127
"도시대기",서울특별시,마포구,마포구,0.0178,0.0173,0.0122,0.0129,0.0128,0.0202
"도시대기",서울특별시,영등포구,영등포구,0.0168,0.0164,0.0118,0.0142,0.0144,0.0223
"도시대기",서울특별시,동작구,동작구,0.0148,0.0145,0.0104,0.0125,0.0135,0.0199
"도시대기",서울특별시,관악구,관악구,0.0164,0.0155,0.0109,0.0130,0.0136,0.0222
"도시대기",서울특별시,강남구,강남구,0.0178,0.0183,0.0165*,0.0136,0.0134,0.0197
"도시대기",서울특별시,금천구,금천구,0.0180,0.0169,0.0115,0.0125,0.0143,0.0204
"도시대기",서울특별시,강동구,강동구,0.0163,0.0154,0.0087,0.0109,0.0108,0.0170
"도시대기",서울특별시,강북구,강북구,0.0102,0.0100,0.0081,0.0072,0.0076,0.0101
"도시대기",서울특별시,성북구,성북구,0.0143,0.0145,0.0091*,0.0098,0.0111,0.0179
"도시대기",서울특별시,용산구,용산구,0.0195,0.0203,0.0156,0.0209,0.0189,0.0246
"도시대기",서울특별시,광진구,광진구,0.0197,0.0191,0.0118,0.0124,0.0130,0.0189
"도시대기",서울특별시,성동구,성동구,0.0184,0.0181,0.0129,0.0146,0.0123,0.0190
"도시대기",서울특별시,도봉구,도봉구,0.0105,0.0105,0.0089,0.0091**,0.0106,0.0152
"도시대기",서울특별시,서대문구,서대문구,0.0137,0.0145,0.0096,0.0095,0.0093,0.0140
"도시대기",서울특별시,구로구,구로구,0.0107,0.0101,0.0071,0.0087,0.0086,0.0143
"도시대기",서울특별시,서초구,서초구,0.0153,0.0141,0.0102,0.0121,0.0108,0.0170
"도시대기",서울특별시,강서구,강서구,0.0163,0.0153,0.0108,0.0122,0.0134,0.0208
"도시대기",서울특별시,송파구,송파구,0.0173,0.0174,0.0119,0.0139,0.0135,0.0213
"도시대기",서울특별시,양천구,양천구,0.0166,0.0157,0.0110,0.0114,0.0122,0.0192
"도시대기",서울특별시,노원구,노원구,0.0148,0.0140,0.0110,0.0101,0.0112,0.0184
"도시대기",부산광역시,중구,광복동,0.0161,0.0179,0.0145,0.0116,0.0104,0.0103
"도시대기",부산광역시,남구,대연동,0.0154,0.0174,0.0150,0.0089,0.0063,0.0084
"도시대기",부산광역시,남구,용호동,0.0135,0.0153,0.0110,0.0068,0.0061,0.0085
"도시대기",부산광역시,사상구,학장동,0.0136,0.0129,0.0092,0.0087,0.0111,0.0140
"도시대기",부산광역시,사상구,덕포동,0.0186,0.0151,0.0114,0.0090,0.0108,0.0126
"도시대기",부산광역시,북구,덕천동,0.0152,0.0161,0.0118,0.0093,0.0104,0.0125
"도시대기",부산광역시,북구,화명동,0.0130,0.0133,0.0112,0.0090,0.0105,0.0120
"도시대기",부산광역시,강서구,명지동,0.0124,0.0125,0.0090,0.0075,0.0089,0.0104
"도시대기",부산광역시,사하구,장림동,0.0159,0.0159,0.0113,0.0108,0.0120,0.0129
"도시대기",부산광역시,사하구,당리동,0.0148,0.0161,0.0121,0.0105,0.0121,0.0134
"도시대기",부산광역시,부산진구,전포동,0.0160,0.0157,0.0118,0.0089,0.0085,0.0088
"도시대기",부산광역시,부산진구,개금동,0.0197,0.0188,0.0132,0.0114,0.0122,0.0174
"도시대기",부산광역시,연제구,연산동,0.0140,0.0136,0.0098,0.0079,0.0079,0.0100
"도시대기",부산광역시,영도구,태종대,0.0139,0.0151,0.0131,0.0088,0.0087,0.0096
"도시대기",부산광역시,영도구,청학동,0.0117,0.0114,0.0076,0.0077,0.0094,0.0101
"도시대기",부산광역시,금정구,청룡동,0.0137,0.0139,0.0081,0.0086,0.0096,0.0117
"도시대기",부산광역시,금정구,부곡동,0.0120,0.0128,0.0103,0.0070,0.0069,0.0087
"도시대기",부산광역시,금정구,회동동,0.0141,0.0147,0.0102,0.0081,0.0089,0.0107
"도시대기",부산광역시,해운대구,좌동,0.0059,0.0060,0.0056,0.0048,0.0047,0.0047
"도시대기",부산광역시,해운대구,재송동,0.0142,0.0133,0.0090,0.0064,0.0064,0.0101
"도시대기",부산광역시,강서구,대저동,0.0165,0.0156,0.0101,0.0116,0.0142,0.0165
"도시대기",부산광역시,강서구,녹산동,0.0159,0.0176,0.0251,0.0201,0.0150,0.0112
"도시대기",부산광역시,기장군,기장읍,0.0046,0.0048,0.0040,0.0030,0.0037,0.0038
"도시대기",부산광역시,기장군,용수리,0.0065,0.0069,0.0062,0.0052,0.0048,0.0047
"도시대기",부산광역시,수영구,광안동,0.0084,0.0092,0.0080,0.0048,0.0048,-
"도시대기",부산광역시,동래구,명장동,0.0130,0.0131,0.0103,0.0082,0.0097*,-
"도시대기",부산광역시,동구,수정동,0.0136,0.0165,0.0123,0.0083,0.0079,0.0077
"도시대기",부산광역시,서구,대신동,0.0118,0.0134,0.0107,0.0085,0.0084,0.0090
"도시대기",대구광역시,군위군,군위읍,0.0040,0.0043,0.0031,0.0027,0.0032,0.0040
"도시대기",대구광역시,중구,수창동,0.0126,0.0127,0.0096,0.0089,0.0107,0.0176
"도시대기",대구광역시,중구,남산1동,0.0086,0.0099,0.0079,0.0076,0.0086,0.0140
"도시대기",대구광역시,서구,이현동,0.0144,0.0155,0.0110,0.0109,0.0126,0.0192
"도시대기",대구광역시,서구,내당동,0.0116,0.0111,0.0082,0.0075,0.0091,0.0159
"도시대기",대구광역시,남구,대명동,0.0125,0.0129,0.0093,0.0084,0.0097,0.0154
"도시대기",대구광역시,북구,태전동,0.0097,0.0101,0.0076,0.0070,0.0091,0.0130
"도시대기",대구광역시,북구,산격동,0.0125,0.0125,0.0092,0.0086,0.0106,0.0162
"도시대기",대구광역시,북구,침산동,0.0126,0.0121,0.0086,0.0078,0.0097,0.0128
"도시대기",대구광역시,동구,신암동,0.0098,0.0095,0.0067,0.0058,0.0076,0.0138
"도시대기",대구광역시,동구,서호동,0.0106,0.0104,0.0067,0.0068,0.0077,0.0135
"도시대기",대구광역시,수성구,만촌동,0.0095,0.0096,0.0078,0.0070,0.0080,0.0147
"도시대기",대구광역시,수성구,지산동,0.0071,0.0069,0.0049,0.0049,0.0056,0.0103
"도시대기",대구광역시,수성구,시지동,0.0119,0.0121,0.0075,0.0077,0.0083,0.0142
"도시대기",대구광역시,달서구,호림동,0.0103,0.0100,0.0069,0.0075,0.0088,0.0118
"도시대기",대구광역시,달서구,진천동,0.0107,0.0108,0.0071,0.0073,0.0092,0.0145
"도시대기",대구광역시,달서구,본동,0.0107,0.0103,0.0081,0.0079,0.0090,0.0143
"도시대기",대구광역시,달성군,유가읍,0.0084,0.0089,0.0065,0.0070,0.0079,0.0113
"도시대기",대구광역시,달성군,다사읍,0.0089,0.0078,0.0052,0.0060,0.0081,0.0107
"도시대기",대구광역시,달성군,화원읍,0.0056,0.0054,0.0027,0.0069,0.0077,0.0095
"도시대기",인천광역시,중구,신흥,0.0183,0.0170,0.0126,0.0118,0.0132,0.0195
"도시대기",인천광역시,중구,운서,0.0088,0.0082,0.0087,0.0073,0.0082,0.0107
"도시대기",인천광역시,중구,영종,0.0089,0.0079,0.0068,0.0071,0.0087,0.0115
"도시대기",인천광역시,동구,송림,0.0179,0.0156,0.0114,0.0126,0.0140,0.0212
"도시대기",인천광역시,남동구,구월동,0.0170,0.0161,0.0119,0.0145,0.0161,0.0236
"도시대기",인천광역시,남동구,고잔,0.0182,0.0160,0.0107,0.0140,0.0162,0.0269
"도시대기",인천광역시,남동구,논현,0.0172,0.0160,0.0103,0.0133,0.0142,0.0217
"도시대기",인천광역시,부평구,부평,0.0154,0.0157,0.0109,0.0132,0.0146,0.0219
"도시대기",인천광역시,부평구,삼산,0.0156,0.0157,0.0100,0.0129,0.0150,0.0233
"도시대기",인천광역시,옹진군,영흥,0.0073,0.0061,0.0052,0.0055,0.0065,0.0103
"도시대기",인천광역시,남동구,서창,0.0167,0.0162,0.0094,0.0131,0.0140,0.0215
"도시대기",인천광역시,서구,연희,0.0133,0.0128,0.0110,0.0102,0.0115,0.0141
"도시대기",인천광역시,서구,석남,0.0165,0.0155,0.0110,0.0124,0.0138,0.0208
"도시대기",인천광역시,서구,검단,0.0125,0.0122,0.0102,0.0109,0.0116,0.0156
"도시대기",인천광역시,서구,원당,0.0127,0.0125,0.0111,0.0123,0.0125,0.0172
"도시대기",인천광역시,서구,청라,0.0152,0.0140,0.0113,0.0113,0.0133,0.0196
"도시대기",인천광역시,계양구,계산,0.0146,0.0130,0.0099,0.0081,0.0090,0.0139
"도시대기",인천광역시,계양구,효성,0.0154,0.0191,0.0128,0.0100,0.0117,0.0172
"도시대기",인천광역시,강화군,송해,0.0051,0.0044,0.0034,0.0039,0.0043,0.0072
"도시대기",인천광역시,강화군,길상,0.0058,0.0049,0.0044,0.0046,0.0054,0.0084
"도시대기",인천광역시,연수구,동춘,0.0142,0.0136,0.0101,0.0125,0.0148,0.0231
"도시대기",인천광역시,연수구,송도,0.0132,0.0111,0.0087,0.0106,0.0128,0.0200
"도시대기",인천광역시,연수구,아암,0.0125,0.0116,0.0081,0.0122,0.0139,0.0218
"도시대기",인천광역시,미추홀구,숭의,0.0147,0.0140,0.0088,0.0114,0.0119,0.0184
"도시대기",인천광역시,미추홀구,주안,0.0164,0.0154,0.0094,0.0129,0.0146,0.0200
"도시대기",광주광역시,동구,서석동,0.0092,0.0085,0.0059,0.0073,0.0082,0.0111
"도시대기",광주광역시,서구,농성동,0.0105,0.0092,0.0059,0.0078,0.0081,0.0123
"도시대기",광주광역시,서구,유촌동,0.0149,0.0134,0.0089,0.0120,0.0126,0.0190
"도시대기",광주광역시,북구,두암동,0.0086,0.0070,0.0044,0.0062,0.0070,0.0101
"도시대기",광주광역시,북구,건국동,0.0107,0.0101,0.0078,0.0078,0.0089,0.0110
"도시대기",광주광역시,북구,일곡동,0.0092,0.0085,0.0070,0.0073,0.0078,0.0080
"도시대기",광주광역시,광산구,오선동,0.0133,0.0128,0.0101,0.0095,0.0109,0.0141
"도시대기",광주광역시,광산구,평동,0.0087,0.0081,0.0060,0.0072,0.0074,0.0112
"도시대기",광주광역시,광산구,우산동,0.0137,0.0108,0.0075,0.0098,0.0106,0.0157
"도시대기",광주광역시,남구,주월동,0.0147,0.0132,0.0094,0.0124,0.0133,0.0183
"도시대기",광주광역시,남구,노대동,0.0054,0.0051,0.0028,0.0057,0.0049,0.0076
"도시대기",대전광역시,대덕구,읍내동,0.0158,0.0121,0.0097,0.0116,0.0116,0.0176
"도시대기",대전광역시,대덕구,문평동,0.0138,0.0110,0.0100,0.0116,0.0123,0.0183
"도시대기",대전광역시,중구,문창동,0.0087,0.0081,0.0056,0.0073,0.0083,0.0155**
"도시대기",대전광역시,유성구,상대동,0.0110,0.0119,0.0091,0.0095,0.0104,0.0166
"도시대기",대전광역시,유성구,구성동,0.0092,0.0090,0.0065,0.0085,0.0084,0.0127
"도시대기",대전광역시,유성구,노은동,0.0100,0.0095,0.0076,0.0084,0.0084,0.0147
"도시대기",대전광역시,유성구,관평동,0.0109,0.0108,0.0070,0.0072,0.0093,0.0131
"도시대기",대전광역시,동구,성남동,0.0114,0.0100,0.0073,0.0092,0.0099,0.0150
"도시대기",대전광역시,동구,대성동,0.0201,0.0186,0.0115,0.0140,0.0154,0.0197
"도시대기",대전광역시,서구,정림동,0.0093,0.0082,0.0071,0.0081,0.0078,0.0140
"도시대기",대전광역시,서구,둔산동,0.0121,0.0125,0.0103,0.0106,0.0119,0.0204
"도시대기",울산광역시,중구,성남동,0.0156,0.0176,0.0113,0.0084,0.0092,0.0111
"도시대기",울산광역시,중구,약사동,0.0147,0.0189,0.0123,0.0083,0.0086,0.0095
"도시대기",울산광역시,남구,부곡동,0.0208,0.0222,0.0149,0.0138,0.0150,0.0171
"도시대기",울산광역시,남구,여천동,0.0244,0.0290,0.0230,0.0142,0.0143,0.0170
"도시대기",울산광역시,남구,야음동,0.0168,0.0148,0.0125,0.0096,0.0101,0.0111
"도시대기",울산광역시,남구,신정동,0.0144,0.0162,0.0112,0.0087,0.0098,0.0106
"도시대기",울산광역시,남구,무거동,0.0178,0.0186,0.0119,0.0119,0.0130,0.0160
"도시대기",울산광역시,남구,삼산동,0.0165,0.0205,0.0132,0.0094,0.0106,0.0124
"도시대기",울산광역시,울주군,덕신리,0.0103,0.0111,0.0091,0.0089,0.0092,0.0102
"도시대기",울산광역시,울주군,웅촌면,0.0111,0.0125,0.0079,0.0083,0.0086,0.0100
"도시대기",울산광역시,울주군,삼남읍,0.0088,0.0094,0.0082,0.0069,0.0077,0.0077
"도시대기",울산광역시,울주군,화산리,0.0204,0.0190,0.0167,0.0150,0.0161,0.0166
"도시대기",울산광역시,울주군,상남리,0.0151,0.0171,0.0111,0.0107,0.0119,0.0135
"도시대기",울산광역시,울주군,범서읍,0.0119,0.0125,0.0080,0.0081,0.0084,0.0100
"도시대기",울산광역시,북구,효문동,0.0221,0.0273,0.0202,0.0132,0.0137,0.0174
"도시대기",울산광역시,북구,농소동,0.0158*,0.0174,0.0119,0.0096,0.0100,0.0113
"도시대기",울산광역시,북구,송정동,0.0150,0.0168,0.0141,0.0085,0.0107,0.0112
"도시대기",울산광역시,동구,대송동,0.0148,0.0159,0.0133,0.0084,0.0090,0.0104
"도시대기",울산광역시,동구,전하동,0.0147,0.0161,0.0140,0.0091,0.0087,0.0109
"도시대기",세종특별자치시,세종특별자치시,신흥동,0.0094,0.0093,0.0065,0.0086,0.0092,0.0139
"도시대기",세종특별자치시,세종특별자치시,아름동,0.0092,0.0089,0.0066,0.0086,0.0055*,0.0081**
"도시대기",세종특별자치시,세종특별자치시,한솔동,0.0095,0.0092,0.0065,0.0078,0.0081,0.0116
"도시대기",세종특별자치시,세종특별자치시,부강면,0.0103,0.0106,0.0066,0.0074,0.0079,0.0108
"도시대기",세종특별자치시,세종특별자치시,전의면,0.0072,0.0071,0.0053,0.0061,0.0071,0.0076
"도시대기",경기도,수원,인계동,0.0153,0.0135,0.0092,0.0127,0.0133,0.0214
"도시대기",경기도,수원,신풍동,0.0130,0.0121,0.0069,0.0089,0.0104,0.0180
"도시대기",경기도,수원,광교동,0.0168,0.0167,0.0104,0.0141,0.0144,0.0211
"도시대기",경기도,수원,영통동,0.0140,0.0124**,0.0098,0.0107,0.0110,0.0206
"도시대기",경기도,수원,천천동,0.0152,0.0165,0.0114,0.0137,0.0142,0.0213
"도시대기",경기도,수원,고색동,0.0151,0.0155,0.0093,0.0134,0.0132,0.0212
"도시대기",경기도,수원,호매실동,0.0091,0.0095**,0.0033,0.0067,0.0074,0.0139
"도시대기",경기도,안양,안양8동,0.0107,0.0101,0.0083,0.0101,0.0103,0.0148
"도시대기",경기도,안양,부림동,0.0131,0.0142,0.0095,0.0121,0.0133,0.0190
"도시대기",경기도,안양,호계동,0.0142,0.0132,0.0097,0.0110,0.0111,0.0164
"도시대기",경기도,안양,안양2동,0.0163,0.0178,0.0095,0.0106,0.0136,0.0219
"도시대기",경기도,성남,단대동,0.0117,0.0121,0.0086,0.0092,0.0090,0.0151
"도시대기",경기도,성남,정자동,0.0120,0.0117,0.0067,0.0085,0.0079,0.0131
"도시대기",경기도,성남,수내동,0.0153,0.0152,0.0094,0.0112,0.0120,0.0174
"도시대기",경기도,성남,복정동,0.0144,0.0150,0.0080,0.0098,0.0114,0.0186
"도시대기",경기도,성남,상대원동,0.0158,0.0179,0.0123,0.0133,0.0131,0.0182
"도시대기",경기도,성남,운중동,0.0114,0.0112,0.0069,0.0117,0.0130,0.0209
"도시대기",경기도,의정부,의정부동,0.0106,0.0096,0.0088,0.0092,0.0105,0.0155
"도시대기",경기도,의정부,의정부1동,0.0116,0.0106,0.0083,0.0082,0.0099,0.0156
"도시대기",경기도,의정부,송산3동,0.0155,0.0104,0.0099,0.0120,0.0129,0.0163
"도시대기",경기도,광명,철산동,0.0120,0.0120,0.0078,0.0099,0.0108,0.0174
"도시대기",경기도,광명,소하동,0.0129,0.0121,0.0075,0.0099,0.0105,0.0182
"도시대기",경기도,안산,고잔동,0.0154,0.0145,0.0090,0.0123,0.0129,0.0207
"도시대기",경기도,안산,초지동,-,-,-,-,0.0121**,0.0196
"도시대기",경기도,안산,원시동,0.0120,0.0132,0.0093,0.0112**,-,-
"도시대기",경기도,안산,본오동,0.0104,0.0101,0.0078,0.0109,0.0094,0.0174
"도시대기",경기도,안산,원곡동,0.0117,0.0109,0.0077,0.0109,0.0116,0.0197
"도시대기",경기도,안산,부곡동,0.0200,0.0191,0.0101,0.0169**,0.0213**,0.0256
"도시대기",경기도,안산,대부동,0.0070,0.0063,0.0047,0.0056*,0.0041**,0.0108
"도시대기",경기도,안산,호수동,0.0135,0.0128,0.0085,0.0113,0.0122,0.0210*
"도시대기",경기도,평택,비전동,0.0099,0.0088,0.0054,0.0071,0.0051,0.0136
"도시대기",경기도,평택,안중,0.0086,0.0047,0.0050,0.0066,0.0078,0.0126
"도시대기",경기도,평택,평택항,0.0050,0.0094,0.0052,0.0087*,0.0098,0.0149
"도시대기",경기도,평택,송북동,0.0110*,0.0102,0.0061,0.0073*,0.0048*,0.0114
"도시대기",경기도,평택,청북읍,0.0078,0.0081,0.0042,0.0056,0.0072,0.0136
"도시대기",경기도,평택,고덕동,0.0101,0.0092,0.0058,0.0071,0.0073,0.0132
"도시대기",경기도,과천,별양동,0.0146,0.0150,0.0105,0.0127,0.0136,0.0192
"도시대기",경기도,과천,과천동,0.0123,0.0129,0.0078,0.0108,0.0113,0.0166
"도시대기",경기도,구리,교문동,0.0095,0.0086,0.0067,0.0065,0.0063,0.0089
"도시대기",경기도,구리,동구동,0.0105,0.0101,0.0067,0.0073,0.0084,0.0099**
"도시대기",경기도,의왕,부곡3동,0.0167,0.0162,0.0087,0.0082,0.0143,0.0226
"도시대기",경기도,의왕,고천동,0.0147,0.0149,0.0078,0.0102,0.0103,0.0162
"도시대기",경기도,고양,행신동,0.0126,0.0116,0.0086,0.0087,0.0090,0.0137
"도시대기",경기도,고양,식사동,0.0107,0.0103,0.0071,0.0081,0.0102,0.0143
"도시대기",경기도,고양,신원동,0.0115,0.0098,0.0076,0.0068,0.0066,0.0088
"도시대기",경기도,고양,주엽동,0.0097,0.0095,0.0079,0.0077,0.0086,0.0145
"도시대기",경기도,광주,경안동,0.0152,0.0159,0.0114,0.0124,0.0113,0.0152
"도시대기",경기도,광주,오포1동,0.0107,0.0111,0.0067,0.0078,0.0081,0.0115
"도시대기",경기도,광주,곤지암,0.0106,0.0105,0.0065,0.0087,0.0089,0.0127
"도시대기",경기도,군포,당동,0.0166,0.0155,0.0101,0.0151,0.0146,0.0219
"도시대기",경기도,군포,산본동,0.0117,0.0107,0.0071,0.0102,0.0102,0.0155
"도시대기",경기도,시흥,정왕동,0.0173,0.0146,0.0106,0.0130,0.0148,0.0231
"도시대기",경기도,시흥,시화산단,0.0122,0.0135,0.0126,0.0113,0.0119,0.0169
"도시대기",경기도,시흥,대야동,0.0202,0.0142,0.0162,0.0115,0.0143,0.0256
"도시대기",경기도,시흥,목감동,0.0211,0.0216,0.0105,0.0172,0.0169,0.0246
"도시대기",경기도,시흥,장현동,0.0132,0.0126,0.0079,0.0093,0.0096,0.0169
"도시대기",경기도,시흥,배곧동,0.0151,0.0157,0.0143,0.0146,0.0161,0.0230
"도시대기",경기도,부천,소사본동,0.0134,0.0121,0.0077,0.0096,0.0092,0.0180
"도시대기",경기도,부천,내동,0.0156,0.0184,0.0128,0.0162,0.0176,0.0266
"도시대기",경기도,부천,중2동,0.0132,0.0126,0.0079,0.0099,0.0111,0.0190
"도시대기",경기도,부천,오정1동,0.0135,0.0129,0.0079,0.0094,0.0116,0.0202
"도시대기",경기도,남양주,금곡동,0.0144,0.0142,0.0098,0.0115,0.0115,0.0154
"도시대기",경기도,남양주,오남읍,0.0087,0.0083,0.0068,0.0061,0.0060,0.0085
"도시대기",경기도,남양주,별내동,0.0140,0.0137,0.0104,0.0117,0.0122,0.0174
"도시대기",경기도,남양주,화도읍,0.0109,0.0097,0.0074,0.0070*,0.0067,0.0100
"도시대기",경기도,남양주,와부읍,0.0107,0.0105,0.0068,0.0072,0.0062,0.0087
"도시대기",경기도,남양주,진접읍,0.0103,0.0099,0.0085,0.0077,0.0075,0.0100
"도시대기",경기도,용인,김량장동,0.0123,0.0117,0.0075,0.0098,0.0110,0.0164
"도시대기",경기도,용인,수지,0.0120,0.0107,0.0075,0.0100,0.0108,0.0176
